IndexKey,IndexName,Group,Date,SourceDate,Close,PE
NIFTYSMALLCAP250MOMENTUMQUALITY100,NIFTY Smallcap250 Momentum Quality 100,Strategy / Thematic / Other,2024-09-30,2024-09-30,53129.67,29.27
NIFTYSMALLCAP250MOMENTUMQUALITY100,NIFTY Smallcap250 Momentum Quality 100,Strategy / Thematic / Other,2024-12-31,2024-12-31,50124.1,32.2
NIFTYSMALLCAP250MOMENTUMQUALITY100,NIFTY Smallcap250 Momentum Quality 100,Strategy / Thematic / Other,2025-03-31,2025-03-28,42183.85,26.77
NIFTYSMALLCAP250MOMENTUMQUALITY100,NIFTY Smallcap250 Momentum Quality 100,Strategy / Thematic / Other,2025-06-30,2025-06-30,48564.4,29.98
NIFTYSMALLCAP250MOMENTUMQUALITY100,NIFTY Smallcap250 Momentum Quality 100,Strategy / Thematic / Other,2025-09-30,2025-09-30,44464.55,28.01
NIFTYSMALLCAP250MOMENTUMQUALITY100,NIFTY Smallcap250 Momentum Quality 100,Strategy / Thematic / Other,2025-12-31,2025-12-31,43985.5,30.09
NIFTYSMALLCAP250MOMENTUMQUALITY100,NIFTY Smallcap250 Momentum Quality 100,Strategy / Thematic / Other,2026-03-31,2026-03-30,37605.15,24.4
NIFTYSMALLCAP250MOMENTUMQUALITY100,NIFTY Smallcap250 Momentum Quality 100,Strategy / Thematic / Other,2026-06-30,2026-06-30,46410.35,28.5
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2023-03-31,2023-03-31,14900.5,18.36
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2023-06-30,2023-06-30,17546.3,19.52
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2023-09-30,2023-09-29,19568.93,22.63
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2023-12-31,2023-12-29,23128.57,23.35
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2024-03-31,2024-03-28,22958.69,22.95
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2024-06-30,2024-06-28,27652.01,27
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2024-09-30,2024-09-30,30601.31,29.46
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2024-12-31,2024-12-31,29159.15,26.41
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2025-03-31,2025-03-28,24133.35,22.83
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2025-06-30,2025-06-30,28179.45,28.37
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2025-09-30,2025-09-30,25830.55,26.45
NIFTYSMALLCAP250QUALITY50,NIFTY Smallcap250 Quality 50,Strategy / Thematic / Other,2025-12-31,2025-12-31,25536,25.1
